Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity,No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm),Status_Category,geometry
2513,,01/05/2018,Ørsted,Centrica (Lincs),Wind Offshore,,,270.0,,,,,,,3.60,75,,,Operational,Operational,,,8 Km of Skegness,Offshore,Offshore,England,,567020,368144,DECC (S36),,,,,,02/01/1900,24/01/2007,,,,,,,21/10/2008,,,,,01/03/2010,24/07/2013,,,Operational,POINT (567020 368144)
2514,10726846,18/05/2015,EDF Energy - Northern Offshore Windfarm Ltd,Teeside Offshore Wind Farm,Wind Offshore,,,62.0,,,,,,,2.30,27,,,Operational,Operational,,,"Coast of Coatham Sands at Redcar, the nearest within a mile of the beach",Offshore,Offshore,England,,458470,528174,DECC (S36),R/2004/0305/FF,,,,,01/01/1900,22/03/2005,,,,,,,17/09/2007,,,,,01/02/2012,31/08/2013,,,Operational,POINT (458470 528174)
2515,11022914,20/08/2020,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 1),Wind Offshore,,,289.8,,,,,,,6.30,46,154.00,,Operational,Operational,,,"Race Bank
Greater Wash",Offshore,Offshore,England,,573300,363000,DECC (S36),,,,,,02/01/1900,23/01/2009,,,,,,,06/07/2012,,,,,07/07/2016,08/06/2017,,,Operational,POINT (573300 363000)
2516,10631124,06/07/2012,Centrica,Docking Shoal A,Wind Offshore,,,540.0,,,,,,,5.00,108,,,Planning Permission Refused,Application Refused,,,17km off the North Norfolk Coast,Offshore,Offshore,England,,588560,366879,DECC (S36),,,,,,02/01/1900,09/12/2008,,06/07/2012,,,,,,,,,,,,,,Planned,POINT (588560 366879)
2517,12630521,12/04/2022,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank C (was Teesside A),Wind Offshore,,,1200.0,,No,AR3,,,1200.00,14.00,87,260.00,,Under Construction,Under Construction,,,125km off coast of Yorkshire,Offshore,Offshore,England,,675550,599192,The Planning Inspectorate - National Infrastructure,EN010051,,,,,03/01/1900,28/03/2014,,,,,,,05/08/2015,,,,,01/03/2022,,,,Under Construction,POINT (675550 599192)
2519,10876306,20/08/2020,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,,,389.0,,,,,,,3.60,108,,,Operational,Operational,,,"Off Duddon Sands, Cumbria. East Irish Sea",Offshore,Offshore,England,,304230,455334,DECC (S36),,,,,,02/01/1900,01/04/2006,,,,,,,04/09/2008,,,,,21/05/2013,30/10/2014,,,Operational,POINT (304230 455334)
2520,11855750,06/12/2019, E.ON UK,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,,,400.0,,,,,,,3.45,116,140.00,,Operational,Operational,,,off the Sussex coastline,Offshore,Offshore,England,,528790,83836,The Planning Inspectorate - National Infrastructure,EN010032,,,,,03/01/1900,25/03/2013,,,,,,,16/07/2014,,,,,25/01/2016,26/11/2017,,,Operational,POINT (528790 83836)
2521,11850055,31/05/2019,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,,,588.0,,,AR1 ,,,664.00,7.00,84,,,Operational,Operational,,,Offshore Scottish borders,Offshore,Offshore,Scotland,,344074,911416,Scottish Government (S36),,,,,,STW,25/04/2012,,,,,,,19/03/2014,,,,,02/04/2017,05/08/2019,,,Operational,POINT (344074 911416)
2522,11880546,07/06/2023,EDF Renewables Power,Neart na Gaoithe,Wind Offshore,,,450.0,,,AR1,,,448.00,8.00,54,208.00,,Under Construction,Under Construction,,,"Offshore Scottish borders (15KM off Forth Estuary, Kirkcaldy, Fife, ",Offshore,Offshore,Scotland,,384615,708641,Marine Scotland,,,,,19/07/2016,STW,30/07/2012,,,,,,,16/05/2017,,,,,01/01/2020,,,,Under Construction,POINT (384615 708641)
2524,11891406,20/08/2020,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,,,714.0,,,AR1,,,714.00,7.00,102,,,Operational,Operational,,,"Offshore, East of England",Offshore,Offshore,England,NR32,685500,257000,The Planning Inspectorate - National Infrastructure,ENO10025,,,,,03/01/1900,21/11/2012,,,,,,,17/06/2014,,,,,24/05/2018,28/07/2020,,,Operational,POINT (685500 257000)
