Site Name,Operator (or Applicant),Status_Category,Development Status (short),Installed Capacity (MWelec),County,Region,X-coordinate,Y-coordinate,longitude,latitude
Harestanes West Windfarm ,ScottishPower Renewables,Planned,Application Submitted,84.0,Dumfries and Galloway,Scotland,303996,589501,-3.5095079689556146,55.1904276525546
Windburn Wind Farm,Octopus Energy / Wind 2 Limited,Planned,Application Submitted,65.0,Clackmannanshire,Scotland,289096,696739,-3.7868066346312537,56.15040054213562
Bodinglee Wind Farm,Banks Group,Planned,Application Submitted,266.0,Strathclyde,Scotland,284834,628146,-3.8262535060323324,55.53340616904411
An Carr Dubh Wind Farm,Statkraft UK Limited,Planned,Application Submitted,85.8,Strathclyde,Scotland,196734,712524,-5.283528566254759,56.261576118860496
Carnbuck Wind Farm,RES Limited,Planned,Application Submitted,50.4,Co. Armagh,Northern Ireland,128454,575243,-6.2474639052801075,54.997470649023896
Carn Fearna Wind Farm,Statkraft UK,Planned,Application Submitted,84.6,Highland,Scotland,239525,861312,-4.687984969332561,57.613156087429076
Knockodhar Wind Farm,REG Knockodhar Limited,Planned,Application Submitted,100.0,South Ayrshire ,Scotland,227597,594082,-4.711159700797579,55.210802432943396
Corr Chnoc Wind Farm ,Galileo Green Energy Scotland Limited,Planned,Application Submitted,86.4,Argyll and Bute ,Scotland,185877,729827,-5.472554986736528,56.411975151380325
Dorenell Extension Wind Farm,Galileo,Planned,Application Submitted,476.6,Moray,Scotland,324670,826423,-3.252519311991696,57.32211212787799
Lairdmannoch Energy Park,Wind2 / Octopus Energy ,Planned,Application Submitted,60.0,Dumfries and Galloway,Scotland,265888,561809,-4.094664341145496,54.93287847942682
Balnespick Wind Farm,Fred Olsen Renewables Limited,Planned,Application Submitted,55.8,Highland,Scotland,286646,829834,-3.8851626208377072,57.34486743433332
Blair Hill Wind Farm,RES Limited,Planned,Application Submitted,145.0,Dumfries and Galloway,Scotland,241185,571663,-4.485302075324622,55.01409351983754
Killean Wind Farm,RES Limited,Planned,Application Submitted,59.4,Strathclyde,Scotland,172376,645351,-5.61924744846603,55.64822117862269
Energy Isles Wind Farm,Energy Isles / Stratcraft,Planned,Awaiting Construction,126.0,Shetland,Scotland,449792,1202671,-1.0897091986088963,60.70410494875249
Allt an Tuir Renewable Energy Park,REG Windpower Limited / ESB Energy Limited,Planned,Application Submitted,59.4,Highland,Scotland,243162,905379,-4.656106211464957,58.00982669044713
High Brenfield Wind Farm,Low Carbon Limited,Planned,Application Submitted,66.0,Strathclyde,Scotland,185178,682925,-5.4458940342350655,55.99104311789291
Ladyfield Renewable Energy Park,Ridge Clean Energy Limited,Planned,Awaiting Construction,58.5,Strathclyde,Scotland,209387,714173,-5.080767002569732,56.28161694146767
Crosbie Wind Farm,Galileo Green Energy Scotland Limited (GGE Scotland),Planned,Application Submitted,98.0,Ayrshire,Scotland,220683,652761,-4.857555032675302,55.73495056435883
Clune Wind Farm - Wind Farm,Renewable Energy Systems,Planned,Application Submitted,187.2,Highland,Scotland,279562,829754,-4.002753368451108,57.34233163071252
M74 West Renewable Energy Park,Renewco Power,Planned,Application Submitted,165.0,South Lanarkshire,Scotland,286321,630532,-3.8036877757971546,55.555183427749554
Giants Burn Wind Farm-,Statkraft UK Limited,Planned,Application Submitted,50.4,Argyll and Bute,Scotland,216891,680145,-4.936352724052076,55.97925277767697
Highland Wind Farm - Wind Farm,Highland Wind Farm Limited,Planned,Application Submitted,133.0,Highland,Scotland,266446,845968,-4.229330633509392,57.48421083473724
Lynemore  Wind Farm,Galileo Empower UK Limited ,Planned,Application Submitted,100.8,Highland,Scotland,279568,829797,-4.002674767731679,57.3427192378255
Loganhead Wind Farm,Muirhall Energy Limited,Planned,Application Submitted,53.8,Dumfries and Galloway,Scotland,329776,586848,-3.1040131224168968,55.17093223835878
Kyllachy Wind Farm - Wind Turbines ,Wind Estate (UK) Limited,Planned,Application Submitted,78.0,Highland,Scotland,270109,829916,-4.159780193656556,57.341189270045376
"Breezy Hill, North Kyle Forest Estate - Wind Turbines ",Brockwell Energy Limited,Planned,Application Submitted,100.0,Strathclyde,Scotland,247434,605937,-4.406141196644442,55.32376268526205
Coille Beith - Wind Turbines ,Statkraft UK Limited,Planned,Application Submitted,79.2,Highland,Scotland,215433,902042,-5.122062014354447,57.96924695139864
Coille Linne Wind Farm-  Wind Turbines ,Energiekontor (UK) Limited,Planned,Application Submitted,108.5,Highland,Scotland,258395,906367,-4.399160068539648,58.02381056125617
Ballach Wind Farm,Energiekontor (UK) Limited,Planned,Application Submitted,144.0,Highland,Scotland,249707,844933,-4.507611671280857,57.469682015274756
Meall Dearg Wind Farm - Wind Farm,Energiekontor (UK) Limited,Planned,Application Submitted,147.0,Perthshire,Scotland,288041,740919,-3.82260925477141,56.54687548974159
Teindland Wind Farm,European Energy A/S / Locogen Limited,Planned,Application Submitted,85.0,Grampian,Scotland,327796,849143,-3.2073244948585016,57.52665797788313
"Allt Domhain Wind Farm, Glenbarr - Wind Turbines",Energiekontor UK Limited,Planned,Application Submitted,64.8,Strathclyde,Scotland,167404,638029,-5.691903770069921,55.5802143732396
Crystal Rig Phase 1 Repowering,Fred Olsen Renewables,Planned,Application Submitted,72.0,Borders,Scotland,368350,665650,-2.507506015278352,55.88295032832863
